timestamp,date,hour
2023-08-07 03:02:20.690000+00:00,2023-08-07,3.03
2023-08-07 01:20:28.327000+00:00,2023-08-07,1.33
2023-08-05 18:26:27.082000+00:00,2023-08-05,18.43
2023-08-04 06:38:55.843000+00:00,2023-08-04,6.63
2023-08-03 08:54:00.943000+00:00,2023-08-03,8.9
2023-08-02 05:55:51.184000+00:00,2023-08-02,5.92
2023-08-02 02:10:36.939000+00:00,2023-08-02,2.17
2023-08-01 04:53:14.752000+00:00,2023-08-01,4.88
2023-08-01 01:50:13.581000+00:00,2023-08-01,1.83
2023-07-31 05:01:56.401000+00:00,2023-07-31,5.02
2023-07-31 04:01:25.282000+00:00,2023-07-31,4.02
2023-07-30 06:07:06.438000+00:00,2023-07-30,6.12
2023-07-30 04:05:20.166000+00:00,2023-07-30,4.08
2023-07-30 01:27:47.662000+00:00,2023-07-30,1.45
2023-07-29 06:18:42.951000+00:00,2023-07-29,6.3
2023-07-28 02:40:11.022000+00:00,2023-07-28,2.67
2023-07-27 03:53:18.184000+00:00,2023-07-27,3.88
2023-07-27 03:11:37.341000+00:00,2023-07-27,3.18
2023-07-26 04:15:54.319000+00:00,2023-07-26,4.25
2023-07-25 05:54:39.833000+00:00,2023-07-25,5.9
2023-07-25 03:43:40.638000+00:00,2023-07-25,3.72
2023-07-24 17:26:18.283000+00:00,2023-07-24,17.43
2023-07-24 00:56:56.475000+00:00,2023-07-24,0.93
2023-07-22 06:01:24.436000+00:00,2023-07-22,6.02
2023-07-22 01:25:53.195000+00:00,2023-07-22,1.42
2023-07-21 06:17:53.688000+00:00,2023-07-21,6.28
2023-07-21 02:12:03.602000+00:00,2023-07-21,2.2
2023-07-20 07:19:08.861000+00:00,2023-07-20,7.32
2023-07-20 03:05:15.745000+00:00,2023-07-20,3.08
2023-07-19 05:35:40.148000+00:00,2023-07-19,5.58
2023-07-19 04:47:07.340000+00:00,2023-07-19,4.78
2023-07-18 07:30:49.613000+00:00,2023-07-18,7.5
2023-07-18 04:05:47.765000+00:00,2023-07-18,4.08
2023-07-17 03:21:43.376000+00:00,2023-07-17,3.35
2023-07-17 01:32:44.130000+00:00,2023-07-17,1.53
2023-07-16 02:38:11.775000+00:00,2023-07-16,2.63
2023-07-14 03:03:22.173000+00:00,2023-07-14,3.05
2023-07-14 01:52:09.316000+00:00,2023-07-14,1.87
2023-07-12 07:29:01.201000+00:00,2023-07-12,7.48
2023-07-11 04:30:24.196000+00:00,2023-07-11,4.5
2023-07-11 01:59:24.023000+00:00,2023-07-11,1.98
2023-07-10 06:49:06.257000+00:00,2023-07-10,6.82
2023-07-10 01:26:30.852000+00:00,2023-07-10,1.43
2023-07-09 05:26:46.816000+00:00,2023-07-09,5.43
2023-07-08 06:10:49.205000+00:00,2023-07-08,6.17
2023-07-08 04:26:49.844000+00:00,2023-07-08,4.43
2023-07-07 05:54:03.146000+00:00,2023-07-07,5.9
