timestamp,date,hour
2023-08-07 17:40:28.447000+00:00,2023-08-07,17.67
2023-08-07 15:06:15.009000+00:00,2023-08-07,15.1
2023-08-07 12:50:38.013000+00:00,2023-08-07,12.83
2023-08-07 10:50:33.342000+00:00,2023-08-07,10.83
2023-08-06 21:50:46.505000+00:00,2023-08-06,21.83
2023-08-06 04:17:53.625000+00:00,2023-08-06,4.28
2023-08-05 16:43:11+00:00,2023-08-05,16.72
2023-08-05 15:22:04.683000+00:00,2023-08-05,15.37
2023-08-05 13:46:24.358000+00:00,2023-08-05,13.77
2023-08-05 05:57:23.097000+00:00,2023-08-05,5.95
2023-08-04 23:32:39.803000+00:00,2023-08-04,23.53
2023-08-04 01:17:26.249000+00:00,2023-08-04,1.28
2023-08-03 23:58:31.630000+00:00,2023-08-03,23.97
2023-08-03 22:14:18.005000+00:00,2023-08-03,22.23
2023-08-03 19:24:48.795000+00:00,2023-08-03,19.4
2023-08-02 23:57:29.562000+00:00,2023-08-02,23.95
2023-08-02 20:17:07.079000+00:00,2023-08-02,20.28
2023-08-02 13:27:29.543000+00:00,2023-08-02,13.45
2023-08-01 23:18:04.965000+00:00,2023-08-01,23.3
2023-08-01 20:58:27.432000+00:00,2023-08-01,20.97
2023-08-01 16:56:50.890000+00:00,2023-08-01,16.93
2023-08-01 01:12:26.882000+00:00,2023-08-01,1.2
2023-07-30 22:12:29.360000+00:00,2023-07-30,22.2
2023-07-30 19:23:08.672000+00:00,2023-07-30,19.38
2023-07-30 17:36:21.171000+00:00,2023-07-30,17.6
2023-07-30 00:33:22.210000+00:00,2023-07-30,0.55
2023-07-29 22:26:11.996000+00:00,2023-07-29,22.43
2023-07-29 20:05:21.035000+00:00,2023-07-29,20.08
2023-07-29 18:41:56.484000+00:00,2023-07-29,18.68
2023-07-29 16:43:22.289000+00:00,2023-07-29,16.72
2023-07-29 04:47:17.309000+00:00,2023-07-29,4.78
2023-07-28 22:34:59.074000+00:00,2023-07-28,22.57
2023-07-28 19:57:03.772000+00:00,2023-07-28,19.95
2023-07-28 19:11:55.789000+00:00,2023-07-28,19.18
2023-07-28 17:07:05.886000+00:00,2023-07-28,17.12
2023-07-27 20:40:31.563000+00:00,2023-07-27,20.67
2023-07-27 19:27:42.818000+00:00,2023-07-27,19.45
2023-07-27 17:01:53.265000+00:00,2023-07-27,17.02
2023-07-27 15:44:44.504000+00:00,2023-07-27,15.73
2023-07-27 01:51:01.576000+00:00,2023-07-27,1.85
2023-07-26 23:13:30.297000+00:00,2023-07-26,23.22
2023-07-26 20:53:18.048000+00:00,2023-07-26,20.88
2023-07-25 21:52:37.189000+00:00,2023-07-25,21.87
2023-07-25 20:41:18.289000+00:00,2023-07-25,20.68
2023-07-25 17:51:51.876000+00:00,2023-07-25,17.85
2023-07-25 15:02:14.473000+00:00,2023-07-25,15.03
2023-07-24 23:13:09.305000+00:00,2023-07-24,23.22
2023-07-24 16:35:10.882000+00:00,2023-07-24,16.58
2023-07-24 13:16:45.670000+00:00,2023-07-24,13.27
2023-07-24 12:10:37.163000+00:00,2023-07-24,12.17
2023-07-24 01:44:20.623000+00:00,2023-07-24,1.73
2023-07-24 00:37:43.232000+00:00,2023-07-24,0.62
2023-07-23 21:11:12.605000+00:00,2023-07-23,21.18
2023-07-23 18:09:42.059000+00:00,2023-07-23,18.15
2023-07-23 16:52:19.879000+00:00,2023-07-23,16.87
2023-07-23 01:25:43.373000+00:00,2023-07-23,1.42
2023-07-22 23:04:16.906000+00:00,2023-07-22,23.07
2023-07-22 21:34:29.376000+00:00,2023-07-22,21.57
2023-07-22 18:18:06.067000+00:00,2023-07-22,18.3
2023-07-21 22:22:27.259000+00:00,2023-07-21,22.37
2023-07-21 15:38:53.152000+00:00,2023-07-21,15.63
2023-07-21 00:24:34.014000+00:00,2023-07-21,0.4
2023-07-20 22:41:48.552000+00:00,2023-07-20,22.68
2023-07-20 02:01:07.671000+00:00,2023-07-20,2.02
2023-07-20 00:05:54.805000+00:00,2023-07-20,0.08
2023-07-19 20:43:47.834000+00:00,2023-07-19,20.72
2023-07-19 19:06:03.400000+00:00,2023-07-19,19.1
2023-07-19 16:49:10.273000+00:00,2023-07-19,16.82
2023-07-19 01:31:50.688000+00:00,2023-07-19,1.52
2023-07-18 17:47:38.319000+00:00,2023-07-18,17.78
2023-07-18 13:24:56.752000+00:00,2023-07-18,13.4
2023-07-17 13:58:04.190000+00:00,2023-07-17,13.97
2023-07-17 03:02:07.167000+00:00,2023-07-17,3.03
2023-07-17 03:01:23.023000+00:00,2023-07-17,3.02
2023-07-17 00:42:16.213000+00:00,2023-07-17,0.7
2023-07-16 22:13:39.668000+00:00,2023-07-16,22.22
2023-07-16 18:38:32.913000+00:00,2023-07-16,18.63
2023-07-16 14:52:22.072000+00:00,2023-07-16,14.87
2023-07-16 13:37:50.267000+00:00,2023-07-16,13.62
2023-07-16 00:32:28.706000+00:00,2023-07-16,0.53
2023-07-15 22:48:29.160000+00:00,2023-07-15,22.8
2023-07-15 20:44:32.795000+00:00,2023-07-15,20.73
2023-07-15 17:53:42.745000+00:00,2023-07-15,17.88
2023-07-15 16:39:56.261000+00:00,2023-07-15,16.65
2023-07-15 00:13:47.783000+00:00,2023-07-15,0.22
2023-07-14 21:37:07.597000+00:00,2023-07-14,21.62
